lon,lat,value,unit,time,name
85.966667,41.966667,1270.9,m,2024-07-15T06:00:00Z,"elevation"
85.966667,42.066667,1242.91,m,2024-07-15T06:00:00Z,"elevation"
85.966667,42.2,1209.93,m,2024-07-15T06:00:00Z,"elevation"
85.966667,42.333333,1361.49,m,2024-07-15T06:00:00Z,"elevation"
85.966667,42.466667,1363.81,m,2024-07-15T06:00:00Z,"elevation"
85.966667,42.6,1365.39,m,2024-07-15T06:00:00Z,"elevation"
85.966667,42.733333,1315.53,m,2024-07-15T06:00:00Z,"elevation"
85.966667,42.866667,1421.26,m,2024-07-15T06:00:00Z,"elevation"
85.966667,42.966667,1600.23,m,2024-07-15T06:00:00Z,"elevation"
85.966667,43.066667,1584.44,m,2024-07-15T06:00:00Z,"elevation"
86.066667,41.966667,1280.16,m,2024-07-15T06:00:00Z,"elevation"
86.066667,42.066667,1200,m,2024-07-15T06:00:00Z,"elevation"
86.066667,42.2,1299.6,m,2024-07-15T06:00:00Z,"elevation"
86.066667,42.333333,1387.08,m,2024-07-15T06:00:00Z,"elevation"
86.066667,42.466667,1403.4,m,2024-07-15T06:00:00Z,"elevation"
86.066667,42.6,1364.76,m,2024-07-15T06:00:00Z,"elevation"
86.066667,42.733333,1395.76,m,2024-07-15T06:00:00Z,"elevation"
86.066667,42.866667,1524.7,m,2024-07-15T06:00:00Z,"elevation"
86.066667,42.966667,1624.68,m,2024-07-15T06:00:00Z,"elevation"
86.066667,43.066667,1624.23,m,2024-07-15T06:00:00Z,"elevation"
86.2,41.966667,1459.21,m,2024-07-15T06:00:00Z,"elevation"
86.2,42.066667,1538.89,m,2024-07-15T06:00:00Z,"elevation"
86.2,42.2,1576.45,m,2024-07-15T06:00:00Z,"elevation"
86.2,42.333333,1608.49,m,2024-07-15T06:00:00Z,"elevation"
86.2,42.466667,1496.36,m,2024-07-15T06:00:00Z,"elevation"
86.2,42.6,1586.19,m,2024-07-15T06:00:00Z,"elevation"
86.2,42.733333,1720.24,m,2024-07-15T06:00:00Z,"elevation"
86.2,42.866667,1752.66,m,2024-07-15T06:00:00Z,"elevation"
86.2,42.966667,1842.97,m,2024-07-15T06:00:00Z,"elevation"
86.2,43.066667,1814.37,m,2024-07-15T06:00:00Z,"elevation"
86.333333,41.966667,2528.24,m,2024-07-15T06:00:00Z,"elevation"
86.333333,42.066667,2551.05,m,2024-07-15T06:00:00Z,"elevation"
86.333333,42.2,2750.58,m,2024-07-15T06:00:00Z,"elevation"
86.333333,42.333333,2666.39,m,2024-07-15T06:00:00Z,"elevation"
86.333333,42.466667,2639.02,m,2024-07-15T06:00:00Z,"elevation"
86.333333,42.6,2698.24,m,2024-07-15T06:00:00Z,"elevation"
86.333333,42.733333,2831.85,m,2024-07-15T06:00:00Z,"elevation"
86.333333,42.866667,2858.5,m,2024-07-15T06:00:00Z,"elevation"
86.333333,42.966667,2908.48,m,2024-07-15T06:00:00Z,"elevation"
86.333333,43.066667,2928.37,m,2024-07-15T06:00:00Z,"elevation"
86.466667,41.966667,3905.16,m,2024-07-15T06:00:00Z,"elevation"
86.466667,42.066667,3895.24,m,2024-07-15T06:00:00Z,"elevation"
86.466667,42.2,3989.9,m,2024-07-15T06:00:00Z,"elevation"
86.466667,42.333333,4050.6,m,2024-07-15T06:00:00Z,"elevation"
86.466667,42.466667,4059.88,m,2024-07-15T06:00:00Z,"elevation"
86.466667,42.6,4109.27,m,2024-07-15T06:00:00Z,"elevation"
86.466667,42.733333,4200,m,2024-07-15T06:00:00Z,"elevation"
86.466667,42.866667,4200,m,2024-07-15T06:00:00Z,"elevation"
86.466667,42.966667,4142.83,m,2024-07-15T06:00:00Z,"elevation"
86.466667,43.066667,4200,m,2024-07-15T06:00:00Z,"elevation"
86.6,41.966667,3348.26,m,2024-07-15T06:00:00Z,"elevation"
86.6,42.066667,3334.59,m,2024-07-15T06:00:00Z,"elevation"
86.6,42.2,3438.82,m,2024-07-15T06:00:00Z,"elevation"
86.6,42.333333,3501.41,m,2024-07-15T06:00:00Z,"elevation"
86.6,42.466667,3530.44,m,2024-07-15T06:00:00Z,"elevation"
86.6,42.6,3513.15,m,2024-07-15T06:00:00Z,"elevation"
86.6,42.733333,3658.91,m,2024-07-15T06:00:00Z,"elevation"
86.6,42.866667,3657.17,m,2024-07-15T06:00:00Z,"elevation"
86.6,42.966667,3673.89,m,2024-07-15T06:00:00Z,"elevation"
86.6,43.066667,3711.69,m,2024-07-15T06:00:00Z,"elevation"
86.733333,41.966667,2016.25,m,2024-07-15T06:00:00Z,"elevation"
86.733333,42.066667,2052,m,2024-07-15T06:00:00Z,"elevation"
86.733333,42.2,1919.52,m,2024-07-15T06:00:00Z,"elevation"
86.733333,42.333333,2057.83,m,2024-07-15T06:00:00Z,"elevation"
86.733333,42.466667,2060.1,m,2024-07-15T06:00:00Z,"elevation"
86.733333,42.6,2011.31,m,2024-07-15T06:00:00Z,"elevation"
86.733333,42.733333,2110.46,m,2024-07-15T06:00:00Z,"elevation"
86.733333,42.866667,2155.23,m,2024-07-15T06:00:00Z,"elevation"
86.733333,42.966667,2216.09,m,2024-07-15T06:00:00Z,"elevation"
86.733333,43.066667,2232.48,m,2024-07-15T06:00:00Z,"elevation"
86.866667,41.966667,1261.23,m,2024-07-15T06:00:00Z,"elevation"
86.866667,42.066667,1347.31,m,2024-07-15T06:00:00Z,"elevation"
86.866667,42.2,1288.35,m,2024-07-15T06:00:00Z,"elevation"
86.866667,42.333333,1331.63,m,2024-07-15T06:00:00Z,"elevation"
86.866667,42.466667,1375.98,m,2024-07-15T06:00:00Z,"elevation"
86.866667,42.6,1423.66,m,2024-07-15T06:00:00Z,"elevation"
86.866667,42.733333,1583.01,m,2024-07-15T06:00:00Z,"elevation"
86.866667,42.866667,1200,m,2024-07-15T06:00:00Z,"elevation"
86.866667,42.966667,1547.33,m,2024-07-15T06:00:00Z,"elevation"
86.866667,43.066667,1534.61,m,2024-07-15T06:00:00Z,"elevation"
86.966667,41.966667,1044.61,m,2024-07-15T06:00:00Z,"elevation"
86.966667,42.066667,1080.63,m,2024-07-15T06:00:00Z,"elevation"
86.966667,42.2,1148.37,m,2024-07-15T06:00:00Z,"elevation"
86.966667,42.333333,1190.78,m,2024-07-15T06:00:00Z,"elevation"
86.966667,42.466667,1255.41,m,2024-07-15T06:00:00Z,"elevation"
86.966667,42.6,1338.75,m,2024-07-15T06:00:00Z,"elevation"
86.966667,42.733333,1437,m,2024-07-15T06:00:00Z,"elevation"
86.966667,42.866667,1399.75,m,2024-07-15T06:00:00Z,"elevation"
86.966667,42.966667,1460.85,m,2024-07-15T06:00:00Z,"elevation"
86.966667,43.066667,1432.11,m,2024-07-15T06:00:00Z,"elevation"
87.066667,41.966667,1025.9,m,2024-07-15T06:00:00Z,"elevation"
87.066667,42.066667,1117.82,m,2024-07-15T06:00:00Z,"elevation"
87.066667,42.2,1146.44,m,2024-07-15T06:00:00Z,"elevation"
87.066667,42.333333,1166.73,m,2024-07-15T06:00:00Z,"elevation"
87.066667,42.466667,1217.13,m,2024-07-15T06:00:00Z,"elevation"
87.066667,42.6,1302.56,m,2024-07-15T06:00:00Z,"elevation"
87.066667,42.733333,1401.22,m,2024-07-15T06:00:00Z,"elevation"
87.066667,42.866667,1474.88,m,2024-07-15T06:00:00Z,"elevation"
87.066667,42.966667,1448.88,m,2024-07-15T06:00:00Z,"elevation"
87.066667,43.066667,1406.13,m,2024-07-15T06:00:00Z,"elevation"
