lon,lat,value,unit,time,name
85.966667,41.966667,-50.24,dBm,2024-07-15T06:00:00Z,"em_intensity"
85.966667,42.066667,-50.54,dBm,2024-07-15T06:00:00Z,"em_intensity"
85.966667,42.2,-50.83,dBm,2024-07-15T06:00:00Z,"em_intensity"
85.966667,42.333333,-46.27,dBm,2024-07-15T06:00:00Z,"em_intensity"
85.966667,42.466667,-45.63,dBm,2024-07-15T06:00:00Z,"em_intensity"
85.966667,42.6,-45.01,dBm,2024-07-15T06:00:00Z,"em_intensity"
85.966667,42.733333,-45.74,dBm,2024-07-15T06:00:00Z,"em_intensity"
85.966667,42.866667,-42.39,dBm,2024-07-15T06:00:00Z,"em_intensity"
85.966667,42.966667,-37.26,dBm,2024-07-15T06:00:00Z,"em_intensity"
85.966667,43.066667,-37.24,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.066667,41.966667,-53.53,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.066667,42.066667,-70,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.066667,42.2,-52.01,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.066667,42.333333,-49.14,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.066667,42.466667,-48.13,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.066667,42.6,-48.57,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.066667,42.733333,-47.18,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.066667,42.866667,-43.21,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.066667,42.966667,-40.15,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.066667,43.066667,-39.73,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.2,41.966667,-59.82,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.2,42.066667,-57.3,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.2,42.2,-55.73,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.2,42.333333,-54.31,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.2,42.466667,-56.68,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.2,42.6,-53.74,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.2,42.733333,-49.64,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.2,42.866667,-48.22,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.2,42.966667,-45.41,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.2,43.066667,-45.73,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.333333,41.966667,-64.67,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.333333,42.066667,-63.64,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.333333,42.2,-57.82,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.333333,42.333333,-59.45,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.333333,42.466667,-59.59,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.333333,42.6,-57.46,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.333333,42.733333,-53.37,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.333333,42.866667,-52.09,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.333333,42.966667,-50.35,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.333333,43.066667,-49.39,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.466667,41.966667,-67.27,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.466667,42.066667,-67.1,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.466667,42.2,-64.03,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.466667,42.333333,-61.86,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.466667,42.466667,-61.04,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.466667,42.6,-59.16,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.466667,42.733333,-55.7,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.466667,42.866667,-54.15,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.466667,42.966667,-56.69,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.466667,43.066667,-53.77,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.6,41.966667,-71.52,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.6,42.066667,-71.44,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.6,42.2,-68.13,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.6,42.333333,-65.91,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.6,42.466667,-64.57,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.6,42.6,-64.44,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.6,42.733333,-60.04,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.6,42.866667,-59.51,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.6,42.966667,-58.63,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.6,43.066667,-57.21,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.733333,41.966667,-71.92,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.733333,42.066667,-70.54,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.733333,42.2,-73.44,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.733333,42.333333,-69.23,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.733333,42.466667,-68.6,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.733333,42.6,-69.3,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.733333,42.733333,-66.12,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.733333,42.866667,-64.37,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.733333,42.966667,-62.33,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.733333,43.066667,-61.47,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.866667,41.966667,-79.31,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.866667,42.066667,-76.62,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.866667,42.2,-77.59,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.866667,42.333333,-75.88,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.866667,42.466667,-74.13,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.866667,42.6,-72.3,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.866667,42.733333,-67.54,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.866667,42.866667,-70,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.866667,42.966667,-67.47,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.866667,43.066667,-67.37,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.966667,41.966667,-85.69,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.966667,42.066667,-84.31,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.966667,42.2,-81.95,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.966667,42.333333,-80.26,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.966667,42.466667,-77.99,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.966667,42.6,-75.22,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.966667,42.733333,-72.06,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.966667,42.866667,-72.46,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.966667,42.966667,-70.43,dBm,2024-07-15T06:00:00Z,"em_intensity"
86.966667,43.066667,-70.75,dBm,2024-07-15T06:00:00Z,"em_intensity"
87.066667,41.966667,-88.81,dBm,2024-07-15T06:00:00Z,"em_intensity"
87.066667,42.066667,-85.96,dBm,2024-07-15T06:00:00Z,"em_intensity"
87.066667,42.2,-84.64,dBm,2024-07-15T06:00:00Z,"em_intensity"
87.066667,42.333333,-83.52,dBm,2024-07-15T06:00:00Z,"em_intensity"
87.066667,42.466667,-81.62,dBm,2024-07-15T06:00:00Z,"em_intensity"
87.066667,42.6,-78.8,dBm,2024-07-15T06:00:00Z,"em_intensity"
87.066667,42.733333,-75.63,dBm,2024-07-15T06:00:00Z,"em_intensity"
87.066667,42.866667,-73.12,dBm,2024-07-15T06:00:00Z,"em_intensity"
87.066667,42.966667,-73.37,dBm,2024-07-15T06:00:00Z,"em_intensity"
87.066667,43.066667,-74.06,dBm,2024-07-15T06:00:00Z,"em_intensity"
