lon,lat,value,unit,time,name
85.966667,41.966667,16.33,km/h,2024-07-15T06:00:00Z,"wind_speed"
85.966667,42.066667,15.72,km/h,2024-07-15T06:00:00Z,"wind_speed"
85.966667,42.2,14.95,km/h,2024-07-15T06:00:00Z,"wind_speed"
85.966667,42.333333,16.06,km/h,2024-07-15T06:00:00Z,"wind_speed"
85.966667,42.466667,15.65,km/h,2024-07-15T06:00:00Z,"wind_speed"
85.966667,42.6,15.21,km/h,2024-07-15T06:00:00Z,"wind_speed"
85.966667,42.733333,14.24,km/h,2024-07-15T06:00:00Z,"wind_speed"
85.966667,42.866667,14.85,km/h,2024-07-15T06:00:00Z,"wind_speed"
85.966667,42.966667,16.33,km/h,2024-07-15T06:00:00Z,"wind_speed"
85.966667,43.066667,15.83,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.066667,41.966667,16.2,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.066667,42.066667,18,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.066667,42.2,15.72,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.066667,42.333333,16.33,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.066667,42.466667,16.14,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.066667,42.6,15.17,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.066667,42.733333,14.88,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.066667,42.866667,15.67,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.066667,42.966667,16.34,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.066667,43.066667,16,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.2,41.966667,15.31,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.2,42.066667,15.93,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.2,42.2,16.67,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.2,42.333333,18.19,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.2,42.466667,17.41,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.2,42.6,16.65,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.2,42.733333,16.05,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.2,42.866667,15.34,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.2,42.966667,15.83,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.2,43.066667,15.2,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.333333,41.966667,15.06,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.333333,42.066667,15.63,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.333333,42.2,20.86,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.333333,42.333333,27,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.333333,42.466667,29.92,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.333333,42.6,24.49,km/h,2024-07-15T06:00:00Z,"wind_speed"
86.333333,42.733333,18.56,km/h,2024-07-15T06:00:00Z,"wind_speed"
