lon,lat,value,unit,time,name
85.966667,41.966667,50933.56,nT,2024-07-15T06:00:00Z,"magnetic_field"
85.966667,42.066667,51368.59,nT,2024-07-15T06:00:00Z,"magnetic_field"
85.966667,42.2,51954.23,nT,2024-07-15T06:00:00Z,"magnetic_field"
85.966667,42.333333,52350.09,nT,2024-07-15T06:00:00Z,"magnetic_field"
85.966667,42.466667,52911.73,nT,2024-07-15T06:00:00Z,"magnetic_field"
85.966667,42.6,53454.93,nT,2024-07-15T06:00:00Z,"magnetic_field"
85.966667,42.733333,54024.41,nT,2024-07-15T06:00:00Z,"magnetic_field"
85.966667,42.866667,54510.03,nT,2024-07-15T06:00:00Z,"magnetic_field"
85.966667,42.966667,54840.59,nT,2024-07-15T06:00:00Z,"magnetic_field"
85.966667,43.066667,55157.98,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.066667,41.966667,51006.05,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.066667,42.066667,51555.78,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.066667,42.2,52050.28,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.066667,42.333333,52409.27,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.066667,42.466667,53044.3,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.066667,42.6,53610.14,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.066667,42.733333,54202.48,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.066667,42.866667,54612.79,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.066667,42.966667,54870.22,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.066667,43.066667,55266.47,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.2,41.966667,51418.86,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.2,42.066667,51638.14,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.2,42.2,52115.79,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.2,42.333333,52707.67,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.2,42.466667,53402.12,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.2,42.6,53782.18,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.2,42.733333,54437.03,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.2,42.866667,54803.53,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.2,42.966667,55175.4,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.2,43.066667,55471.21,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.333333,41.966667,51418.6,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.333333,42.066667,51917.14,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.333333,42.2,52205.51,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.333333,42.333333,52954.82,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.333333,42.466667,53403.21,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.333333,42.6,53968.59,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.333333,42.733333,54436.63,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.333333,42.866667,54890.69,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.333333,42.966667,55347.23,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.333333,43.066667,55695.75,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.466667,41.966667,51329.43,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.466667,42.066667,51877.43,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.466667,42.2,52397.76,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.466667,42.333333,52855.32,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.466667,42.466667,53347.99,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.466667,42.6,53919.17,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.466667,42.733333,54578.66,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.466667,42.866667,55101.34,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.466667,42.966667,55429.49,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.466667,43.066667,55934.4,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.6,41.966667,51492.33,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.6,42.066667,51931.14,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.6,42.2,52587.72,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.6,42.333333,53131.16,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.6,42.466667,53498.86,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.6,42.6,53998.33,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.6,42.733333,54729.56,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.6,42.866667,55200.24,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.6,42.966667,55591.37,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.6,43.066667,55936.65,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.733333,41.966667,51532.02,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.733333,42.066667,51934.04,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.733333,42.2,52502.59,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.733333,42.333333,53118.19,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.733333,42.466667,53800.89,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.733333,42.6,54281.1,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.733333,42.733333,54523.35,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.733333,42.866667,55110.42,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.733333,42.966667,55546.55,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.733333,43.066667,55848.41,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.866667,41.966667,51698.67,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.866667,42.066667,52042.23,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.866667,42.2,52723,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.866667,42.333333,53233.71,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.866667,42.466667,53783.03,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.866667,42.6,54488.79,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.866667,42.733333,54846.74,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.866667,42.866667,55324.11,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.866667,42.966667,55667.73,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.866667,43.066667,56024.8,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.966667,41.966667,51810.53,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.966667,42.066667,52209.79,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.966667,42.2,52723.27,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.966667,42.333333,53248.72,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.966667,42.466667,53871.07,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.966667,42.6,54556.3,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.966667,42.733333,55135.77,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.966667,42.866667,55624.12,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.966667,42.966667,55925.28,nT,2024-07-15T06:00:00Z,"magnetic_field"
86.966667,43.066667,56237.71,nT,2024-07-15T06:00:00Z,"magnetic_field"
87.066667,41.966667,51905,nT,2024-07-15T06:00:00Z,"magnetic_field"
87.066667,42.066667,52362.79,nT,2024-07-15T06:00:00Z,"magnetic_field"
87.066667,42.2,52725.16,nT,2024-07-15T06:00:00Z,"magnetic_field"
87.066667,42.333333,53218.98,nT,2024-07-15T06:00:00Z,"magnetic_field"
87.066667,42.466667,53995.48,nT,2024-07-15T06:00:00Z,"magnetic_field"
87.066667,42.6,54538.94,nT,2024-07-15T06:00:00Z,"magnetic_field"
87.066667,42.733333,55221.7,nT,2024-07-15T06:00:00Z,"magnetic_field"
87.066667,42.866667,55644.81,nT,2024-07-15T06:00:00Z,"magnetic_field"
87.066667,42.966667,55840.85,nT,2024-07-15T06:00:00Z,"magnetic_field"
87.066667,43.066667,56251.22,nT,2024-07-15T06:00:00Z,"magnetic_field"
