lon,lat,value,unit,time,name
85.966667,41.966667,-78.27,dB,2024-07-15T06:00:00Z,"radar_coverage"
85.966667,42.066667,-71.91,dB,2024-07-15T06:00:00Z,"radar_coverage"
85.966667,42.2,-62.27,dB,2024-07-15T06:00:00Z,"radar_coverage"
85.966667,42.333333,-57.5,dB,2024-07-15T06:00:00Z,"radar_coverage"
85.966667,42.466667,-53.13,dB,2024-07-15T06:00:00Z,"radar_coverage"
85.966667,42.6,-52.61,dB,2024-07-15T06:00:00Z,"radar_coverage"
85.966667,42.733333,-55.37,dB,2024-07-15T06:00:00Z,"radar_coverage"
85.966667,42.866667,-62.48,dB,2024-07-15T06:00:00Z,"radar_coverage"
85.966667,42.966667,-69.82,dB,2024-07-15T06:00:00Z,"radar_coverage"
85.966667,43.066667,-78.3,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.066667,41.966667,-74.12,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.066667,42.066667,-63.57,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.066667,42.2,-54.15,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.066667,42.333333,-48.74,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.066667,42.466667,-42.35,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.066667,42.6,-41.37,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.066667,42.733333,-44.55,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.066667,42.866667,-53.96,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.066667,42.966667,-63.29,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.066667,43.066667,-71.39,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.2,41.966667,-63.19,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.2,42.066667,-56.63,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.2,42.2,-45.78,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.2,42.333333,-34.75,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.2,42.466667,-25.48,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.2,42.6,-27,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.2,42.733333,-30.96,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.2,42.866667,-43.21,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.2,42.966667,-52.23,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.2,43.066667,-62.96,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.333333,41.966667,-60.88,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.333333,42.066667,-49.39,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.333333,42.2,-39.92,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.333333,42.333333,-24.09,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.333333,42.466667,-14.86,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.333333,42.6,-12.78,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.333333,42.733333,-23.19,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.333333,42.866667,-36.89,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.333333,42.966667,-45.95,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.333333,43.066667,-56.82,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.466667,41.966667,-62.85,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.466667,42.066667,-50.38,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.466667,42.2,-36.92,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.466667,42.333333,-24.41,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.466667,42.466667,-11.46,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.466667,42.6,-7.66,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.466667,42.733333,-19.43,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.466667,42.866667,-33.43,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.466667,42.966667,-44.9,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.466667,43.066667,-53.72,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.6,41.966667,-64.14,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.6,42.066667,-53.7,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.6,42.2,-39.01,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.6,42.333333,-26.85,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.6,42.466667,-19.94,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.6,42.6,-19.15,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.6,42.733333,-24.42,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.6,42.866667,-37.18,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.6,42.966667,-46.94,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.6,43.066667,-57.66,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.733333,41.966667,-70.12,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.733333,42.066667,-61.05,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.733333,42.2,-49.27,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.733333,42.333333,-38.46,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.733333,42.466667,-29.99,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.733333,42.6,-30.1,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.733333,42.733333,-39.7,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.733333,42.866667,-48.03,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.733333,42.966667,-55.71,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.733333,43.066667,-66.08,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.866667,41.966667,-76.48,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.866667,42.066667,-69.27,dB,2024-07-15T06:00:00Z,"radar_coverage"
86.866667,42.2,-57.45,dB,2024-07-15T06:00:00Z,"radar_coverage"
