lon,lat,value,unit,time,name
85.966667,41.966667,21.3,C,2024-07-15T06:00:00Z,"temperature_2m"
85.966667,42.066667,27.7,C,2024-07-15T06:00:00Z,"temperature_2m"
85.966667,42.2,31,C,2024-07-15T06:00:00Z,"temperature_2m"
85.966667,42.333333,32.6,C,2024-07-15T06:00:00Z,"temperature_2m"
85.966667,42.466667,27.9,C,2024-07-15T06:00:00Z,"temperature_2m"
85.966667,42.6,18.5,C,2024-07-15T06:00:00Z,"temperature_2m"
85.966667,42.733333,11.8,C,2024-07-15T06:00:00Z,"temperature_2m"
85.966667,42.866667,14.9,C,2024-07-15T06:00:00Z,"temperature_2m"
85.966667,42.966667,13.3,C,2024-07-15T06:00:00Z,"temperature_2m"
85.966667,43.066667,13.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.066667,41.966667,24.1,C,2024-07-15T06:00:00Z,"temperature_2m"
86.066667,42.066667,30.8,C,2024-07-15T06:00:00Z,"temperature_2m"
86.066667,42.2,33.1,C,2024-07-15T06:00:00Z,"temperature_2m"
86.066667,42.333333,33.2,C,2024-07-15T06:00:00Z,"temperature_2m"
86.066667,42.466667,28.9,C,2024-07-15T06:00:00Z,"temperature_2m"
86.066667,42.6,14.4,C,2024-07-15T06:00:00Z,"temperature_2m"
86.066667,42.733333,22.3,C,2024-07-15T06:00:00Z,"temperature_2m"
86.066667,42.866667,14.9,C,2024-07-15T06:00:00Z,"temperature_2m"
86.066667,42.966667,14.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.066667,43.066667,13.8,C,2024-07-15T06:00:00Z,"temperature_2m"
86.2,41.966667,30.6,C,2024-07-15T06:00:00Z,"temperature_2m"
86.2,42.066667,32.4,C,2024-07-15T06:00:00Z,"temperature_2m"
86.2,42.2,33.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.2,42.333333,32.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.2,42.466667,26.6,C,2024-07-15T06:00:00Z,"temperature_2m"
86.2,42.6,21.2,C,2024-07-15T06:00:00Z,"temperature_2m"
86.2,42.733333,21.1,C,2024-07-15T06:00:00Z,"temperature_2m"
86.2,42.866667,12.4,C,2024-07-15T06:00:00Z,"temperature_2m"
86.2,42.966667,15.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.2,43.066667,13.1,C,2024-07-15T06:00:00Z,"temperature_2m"
86.333333,41.966667,33.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.333333,42.066667,33.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.333333,42.2,33.5,C,2024-07-15T06:00:00Z,"temperature_2m"
86.333333,42.333333,32.8,C,2024-07-15T06:00:00Z,"temperature_2m"
86.333333,42.466667,27.6,C,2024-07-15T06:00:00Z,"temperature_2m"
86.333333,42.6,21.5,C,2024-07-15T06:00:00Z,"temperature_2m"
86.333333,42.733333,22.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.333333,42.866667,22.6,C,2024-07-15T06:00:00Z,"temperature_2m"
86.333333,42.966667,16.8,C,2024-07-15T06:00:00Z,"temperature_2m"
86.333333,43.066667,12.6,C,2024-07-15T06:00:00Z,"temperature_2m"
86.466667,41.966667,34.6,C,2024-07-15T06:00:00Z,"temperature_2m"
86.466667,42.066667,33.5,C,2024-07-15T06:00:00Z,"temperature_2m"
86.466667,42.2,33.8,C,2024-07-15T06:00:00Z,"temperature_2m"
86.466667,42.333333,32.9,C,2024-07-15T06:00:00Z,"temperature_2m"
86.466667,42.466667,25.2,C,2024-07-15T06:00:00Z,"temperature_2m"
86.466667,42.6,21.9,C,2024-07-15T06:00:00Z,"temperature_2m"
86.466667,42.733333,13.3,C,2024-07-15T06:00:00Z,"temperature_2m"
86.466667,42.866667,24.2,C,2024-07-15T06:00:00Z,"temperature_2m"
86.466667,42.966667,11.9,C,2024-07-15T06:00:00Z,"temperature_2m"
86.466667,43.066667,13.4,C,2024-07-15T06:00:00Z,"temperature_2m"
86.6,41.966667,34,C,2024-07-15T06:00:00Z,"temperature_2m"
86.6,42.066667,33.5,C,2024-07-15T06:00:00Z,"temperature_2m"
86.6,42.2,34.3,C,2024-07-15T06:00:00Z,"temperature_2m"
86.6,42.333333,31.5,C,2024-07-15T06:00:00Z,"temperature_2m"
86.6,42.466667,20.6,C,2024-07-15T06:00:00Z,"temperature_2m"
86.6,42.6,16.6,C,2024-07-15T06:00:00Z,"temperature_2m"
86.6,42.733333,11.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.6,42.866667,18.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.6,42.966667,16.4,C,2024-07-15T06:00:00Z,"temperature_2m"
86.6,43.066667,13.3,C,2024-07-15T06:00:00Z,"temperature_2m"
86.733333,41.966667,32.3,C,2024-07-15T06:00:00Z,"temperature_2m"
86.733333,42.066667,32.5,C,2024-07-15T06:00:00Z,"temperature_2m"
86.733333,42.2,34.1,C,2024-07-15T06:00:00Z,"temperature_2m"
86.733333,42.333333,30.6,C,2024-07-15T06:00:00Z,"temperature_2m"
86.733333,42.466667,16.9,C,2024-07-15T06:00:00Z,"temperature_2m"
86.733333,42.6,16.2,C,2024-07-15T06:00:00Z,"temperature_2m"
86.733333,42.733333,9.2,C,2024-07-15T06:00:00Z,"temperature_2m"
86.733333,42.866667,13.9,C,2024-07-15T06:00:00Z,"temperature_2m"
86.733333,42.966667,15.4,C,2024-07-15T06:00:00Z,"temperature_2m"
86.733333,43.066667,12.9,C,2024-07-15T06:00:00Z,"temperature_2m"
86.866667,41.966667,32.1,C,2024-07-15T06:00:00Z,"temperature_2m"
86.866667,42.066667,32.6,C,2024-07-15T06:00:00Z,"temperature_2m"
86.866667,42.2,33.8,C,2024-07-15T06:00:00Z,"temperature_2m"
86.866667,42.333333,31,C,2024-07-15T06:00:00Z,"temperature_2m"
86.866667,42.466667,24.4,C,2024-07-15T06:00:00Z,"temperature_2m"
86.866667,42.6,21,C,2024-07-15T06:00:00Z,"temperature_2m"
86.866667,42.733333,14,C,2024-07-15T06:00:00Z,"temperature_2m"
86.866667,42.866667,16.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.866667,42.966667,12.2,C,2024-07-15T06:00:00Z,"temperature_2m"
86.866667,43.066667,11.3,C,2024-07-15T06:00:00Z,"temperature_2m"
86.966667,41.966667,31.8,C,2024-07-15T06:00:00Z,"temperature_2m"
86.966667,42.066667,32.3,C,2024-07-15T06:00:00Z,"temperature_2m"
86.966667,42.2,34.2,C,2024-07-15T06:00:00Z,"temperature_2m"
86.966667,42.333333,31.5,C,2024-07-15T06:00:00Z,"temperature_2m"
86.966667,42.466667,23,C,2024-07-15T06:00:00Z,"temperature_2m"
86.966667,42.6,15.6,C,2024-07-15T06:00:00Z,"temperature_2m"
86.966667,42.733333,12.1,C,2024-07-15T06:00:00Z,"temperature_2m"
86.966667,42.866667,16.7,C,2024-07-15T06:00:00Z,"temperature_2m"
86.966667,42.966667,11.4,C,2024-07-15T06:00:00Z,"temperature_2m"
86.966667,43.066667,13.6,C,2024-07-15T06:00:00Z,"temperature_2m"
87.066667,41.966667,32.3,C,2024-07-15T06:00:00Z,"temperature_2m"
87.066667,42.066667,31.3,C,2024-07-15T06:00:00Z,"temperature_2m"
87.066667,42.2,34.5,C,2024-07-15T06:00:00Z,"temperature_2m"
87.066667,42.333333,31.6,C,2024-07-15T06:00:00Z,"temperature_2m"
87.066667,42.466667,17.3,C,2024-07-15T06:00:00Z,"temperature_2m"
87.066667,42.6,13.3,C,2024-07-15T06:00:00Z,"temperature_2m"
87.066667,42.733333,10.3,C,2024-07-15T06:00:00Z,"temperature_2m"
87.066667,42.866667,16.4,C,2024-07-15T06:00:00Z,"temperature_2m"
87.066667,42.966667,12.3,C,2024-07-15T06:00:00Z,"temperature_2m"
87.066667,43.066667,16.2,C,2024-07-15T06:00:00Z,"temperature_2m"
