lon,lat,value,unit,time,name
85.966667,41.966667,8.3,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
85.966667,42.066667,11.2,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
85.966667,42.2,6.5,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
85.966667,42.333333,7.9,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
85.966667,42.466667,11.6,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
85.966667,42.6,11.9,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
85.966667,42.733333,11.2,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
85.966667,42.866667,12.1,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
85.966667,42.966667,12.3,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
85.966667,43.066667,11.3,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.066667,41.966667,12.1,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.066667,42.066667,7.2,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.066667,42.2,8.2,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.066667,42.333333,9,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.066667,42.466667,10,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.066667,42.6,10.1,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.066667,42.733333,10.5,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.066667,42.866667,12.1,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.066667,42.966667,11.2,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.066667,43.066667,11.5,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.2,41.966667,11.6,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.2,42.066667,6.3,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.2,42.2,8.6,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.2,42.333333,9.6,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.2,42.466667,10.9,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.2,42.6,11.2,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.2,42.733333,10.5,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.2,42.866667,11.2,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.2,42.966667,10.1,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.2,43.066667,12.6,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.333333,41.966667,9.6,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.333333,42.066667,5.8,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.333333,42.2,5.2,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.333333,42.333333,6.2,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.333333,42.466667,13.8,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.333333,42.6,11.8,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.333333,42.733333,10.9,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.333333,42.866667,9.7,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.333333,42.966667,11.3,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.333333,43.066667,14,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.466667,41.966667,9.4,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.466667,42.066667,7,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.466667,42.2,5.2,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.466667,42.333333,9.4,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
86.466667,42.466667,14,km/h,2024-07-15T06:00:00Z,"wind_speed_10m"
